borough,quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Barking and Dagenham,Q4_1617,1/1/2017,0.050959455,0.011752853,0.043887878
Barking and Dagenham,Q4_1718,1/1/2018,0.04876659,0.05556859,0.10630964
Barking and Dagenham,Q4_1819,1/1/2019,0.068160308,0.035253925,0.064499976
Barking and Dagenham,Q4_1920,1/1/2020,0.05872972,0.060532351,0.03896364
Barking and Dagenham,Q4_2021,1/1/2021,-0.040443174,0.005963239,-0.053356628
Barking and Dagenham,Q4_2122,1/1/2022,-0.059765321,-0.023710122,-0.024623978
Barking and Dagenham,Q4_2223,1/1/2023,-0.025178874,-0.076425566,-0.048463844
Barking and Dagenham,Q4_2324,1/1/2024,-0.015728964,-0.041706226,-0.064472967
Barking and Dagenham,Q4_2425,1/1/2025,-0.114003181,-0.050832476,-0.062190516
Barking and Dagenham,Q4_2526,1/1/2026,-0.10398169,-0.070774206,-0.025966961
Barnet,Q1_1516,4/1/2015,0.001636151,,-0.026333913
Barnet,Q1_1617,4/1/2016,0.013818906,0.000701417,0.015479473
Barnet,Q1_1718,4/1/2017,0.146576275,0.083332074,0.130848133
Barnet,Q1_1819,4/1/2018,0.133536667,0.047574436,0.05663068
Barnet,Q1_1920,4/1/2019,0.075183113,0.104672949,0.066306302
Barnet,Q1_2021,4/1/2020,0.021052769,0.063870491,0.06795153
Barnet,Q1_2122,4/1/2021,-0.031029342,-0.009113545,0.001145125
Barnet,Q1_2223,4/1/2022,-0.060218281,-0.054714207,-0.016488852
Barnet,Q1_2324,4/1/2023,-0.064784291,-0.071402187,-0.041974407
Barnet,Q1_2425,4/1/2024,-0.075623812,-0.101913876,-0.132671864
Barnet,Q1_2526,4/1/2025,-0.05052563,-0.038806532,-0.068436401
Barnet,Q2_1516,7/1/2015,0.001590359,,-0.036371956
Barnet,Q2_1617,7/1/2016,0.005223195,-0.008442668,0.046646127
Barnet,Q2_1718,7/1/2017,0.145233041,0.082513373,0.089732202
Barnet,Q2_1819,7/1/2018,0.148499541,0.064504306,0.062445942
Barnet,Q2_1920,7/1/2019,0.047808524,0.096273138,0.078487438
Barnet,Q2_2021,7/1/2020,0.05552099,0.078783881,0.068279213
Barnet,Q2_2122,7/1/2021,-0.059684041,-0.034388587,-0.006045016
Barnet,Q2_2223,7/1/2022,-0.05930244,-0.064156001,-0.015727991
Barnet,Q2_2324,7/1/2023,-0.074280578,-0.081095174,-0.051555934
Barnet,Q2_2425,7/1/2024,-0.09866342,-0.107671514,-0.146889316
Barnet,Q2_2526,7/1/2025,-0.068113915,-0.007336591,-0.046432799
Barnet,Q3_1516,10/1/2015,-0.01757012,,0.0043255
Barnet,Q3_1617,10/1/2016,0.001971959,0.009575702,0.033945069
Barnet,Q3_1718,10/1/2017,0.167598964,0.043955404,0.071697761
Barnet,Q3_1819,10/1/2018,0.107520576,0.10000263,0.059940427
Barnet,Q3_1920,10/1/2019,0.07144136,0.108487354,0.121505522
Barnet,Q3_2021,10/1/2020,-0.018523975,0.036318474,0.014918742
Barnet,Q3_2122,10/1/2021,-0.03078305,-0.025058433,0.01304195
Barnet,Q3_2223,10/1/2022,-0.060401449,-0.044825848,-0.006641024
Barnet,Q3_2324,10/1/2023,-0.05077399,-0.0867679,-0.102027155
Barnet,Q3_2425,10/1/2024,-0.080174557,-0.098592553,-0.058144738
Barnet,Q3_2526,10/1/2025,-0.091853599,-0.01961593,-0.099539651
Barnet,Q4_1415,1/1/2015,-0.021920365,,-0.079288592
Barnet,Q4_1516,1/1/2016,0.010476086,-0.001336033,0.022702329
Barnet,Q4_1617,1/1/2017,0.033116761,0.020273459,0.034896146
Barnet,Q4_1718,1/1/2018,0.122134446,0.040624777,0.057157954
Barnet,Q4_1819,1/1/2019,0.07638897,0.09540792,0.047308103
Barnet,Q4_1920,1/1/2020,0.081901349,0.112672713,0.113579882
Barnet,Q4_2021,1/1/2021,-0.052124215,-0.011970878,-0.016380052
Barnet,Q4_2122,1/1/2022,-0.041790475,-0.035672459,0.002205002
Barnet,Q4_2223,1/1/2023,-0.068752935,-0.063821078,-0.015271474
Barnet,Q4_2324,1/1/2024,-0.06721127,-0.112881432,-0.12399069
Barnet,Q4_2425,1/1/2025,-0.083670017,-0.060723037,-0.071048693
Barnet,Q4_2526,1/1/2026,-0.140454233,-0.049238035,-0.119916034
Bexley,Q1_1516,4/1/2015,-0.000869378,,-0.042310613
Bexley,Q1_1617,4/1/2016,0.013246915,-0.007660423,0.018904994
Bexley,Q1_1718,4/1/2017,0.0791281,0.111794025,0.096079696
Bexley,Q1_1819,4/1/2018,0.181899165,0.080869477,0.069851193
Bexley,Q1_1920,4/1/2019,0.07247232,0.052595557,0.008879928
Bexley,Q1_2021,4/1/2020,0.00754491,0.070668969,0.075612155
Bexley,Q1_2122,4/1/2021,0.001863983,0.060844475,0.039840803
Bexley,Q1_2223,4/1/2022,-0.09550568,-0.030180078,-0.086429259
Bexley,Q1_2324,4/1/2023,-0.025443629,-0.063029723,-0.043457777
Bexley,Q1_2324,4/1/2023,-0.025443629,-0.063029723,-0.043457777
Bexley,Q1_2425,4/1/2024,-0.026006541,-0.033429742,-0.043624013
Bexley,Q1_2425,4/1/2024,-0.026006541,-0.033429742,-0.043624013
Bexley,Q1_2526,4/1/2025,-0.121424568,-0.037279934,-0.045224042
Bexley,Q1_2526,4/1/2025,-0.121424568,-0.037279934,-0.045224042
Bexley,Q2_1516,7/1/2015,-0.001819292,,-0.052591138
Bexley,Q2_1617,7/1/2016,0.005463381,0.003914655,0.019559551
Bexley,Q2_1718,7/1/2017,0.076129318,0.096769273,0.078147266
Bexley,Q2_1819,7/1/2018,0.157677325,0.077869327,0.058604417
Bexley,Q2_1920,7/1/2019,0.082788958,0.042820568,0.038973437
Bexley,Q2_2021,7/1/2020,-0.002558705,0.109020379,0.067394187
Bexley,Q2_2122,7/1/2021,0.001257576,0.047519807,0.012614879
Bexley,Q2_2223,7/1/2022,-0.073359578,-0.058655002,-0.085795481
Bexley,Q2_2324,7/1/2023,-0.040799605,-0.039729558,-0.042086323
Bexley,Q2_2324,7/1/2023,-0.040799605,-0.039729558,-0.042086323
Bexley,Q2_2425,7/1/2024,-0.048504463,-0.055204831,-0.024361689
Bexley,Q2_2425,7/1/2024,-0.048504463,-0.055204831,-0.024361689
Bexley,Q2_2526,7/1/2025,-0.085294588,-0.020030071,-0.04636692
Bexley,Q2_2526,7/1/2025,-0.085294588,-0.020030071,-0.04636692
Bexley,Q3_1516,10/1/2015,0.001980363,,-0.021469039
Bexley,Q3_1617,10/1/2016,0.016835479,0.004889703,0.039964753
Bexley,Q3_1718,10/1/2017,0.088943877,0.098769372,0.08897845
Bexley,Q3_1819,10/1/2018,0.14273522,0.06856986,0.023051251
Bexley,Q3_1920,10/1/2019,0.065673882,0.06487067,0.0498254
Bexley,Q3_2021,10/1/2020,0.007528285,0.084869676,0.061513561
Bexley,Q3_2122,10/1/2021,-0.020720928,0.053220091,0.024983754
Bexley,Q3_2223,10/1/2022,-0.091732893,-0.074605298,-0.098268254
Bexley,Q3_2324,10/1/2023,-0.018125774,-0.047829464,-0.051296698
Bexley,Q3_2324,10/1/2023,-0.018125774,-0.047829464,-0.051296698
Bexley,Q3_2425,10/1/2024,-0.07392249,-0.049055022,-0.015961718
Bexley,Q3_2425,10/1/2024,-0.07392249,-0.049055022,-0.015961718
Bexley,Q3_2526,10/1/2025,-0.098073966,-0.052005169,-0.077187714
Bexley,Q3_2526,10/1/2025,-0.098073966,-0.052005169,-0.077187714
Bexley,Q4_1415,1/1/2015,-0.033121026,,-0.03297556
Bexley,Q4_1516,1/1/2016,0.032648821,-0.008085445,-0.021271633
Bexley,Q4_1617,1/1/2017,-0.008090001,0.011389529,0.068510181
Bexley,Q4_1718,1/1/2018,0.101880609,0.076643769,0.073939397
Bexley,Q4_1819,1/1/2019,0.098118066,0.04239505,-0.01535911
Bexley,Q4_1920,1/1/2020,0.054345279,0.08682027,0.086479885
Bexley,Q4_2021,1/1/2021,-0.016817657,0.057568815,0.054323819
Bexley,Q4_2122,1/1/2022,-0.065998228,-0.010530096,-0.056574716
Bexley,Q4_2223,1/1/2023,-0.060826474,-0.046854913,-0.065047416
Bexley,Q4_2324,1/1/2024,-0.013790075,-0.031854664,-0.042969456
Bexley,Q4_2324,1/1/2024,-0.013790075,-0.031854664,-0.042969456
Bexley,Q4_2425,1/1/2025,-0.085294588,-0.040030071,-0.02636692
Bexley,Q4_2425,1/1/2025,-0.085294588,-0.040030071,-0.02636692
Bexley,Q4_2526,1/1/2026,-0.182061705,-0.114582784,-0.119037462
Bexley,Q4_2526,1/1/2026,-0.182061705,-0.114582784,-0.119037462
Brent,Q1_1516,4/1/2015,-0.001042824,,0.019225215
Brent,Q1_1617,4/1/2016,0.00101304,-0.010145749,-0.040665341
Brent,Q1_1718,4/1/2017,0.100922628,0.062552371,-0.036411343
Brent,Q1_1819,4/1/2018,0.097596111,0.007788475,0.043943921
Brent,Q1_1920,4/1/2019,-0.02778573,0.03356581,0.013657417
Brent,Q1_2021,4/1/2020,0.053990815,0.067113579,0.173219641
Brent,Q1_2122,4/1/2021,-0.014491505,-0.001695629,-0.006699565
Brent,Q1_2223,4/1/2022,0.023538203,-0.035395414,-0.016272103
Brent,Q1_2324,4/1/2023,0.005152217,-0.016282905,0.004346171
Brent,Q1_2425,4/1/2024,-0.04147875,-0.043639517,-0.075474478
Brent,Q1_2526,4/1/2025,-0.122964138,0.005195028,-0.065553553
Brent,Q2_1516,7/1/2015,-0.012797304,,-0.010868185
Brent,Q2_1617,7/1/2016,0.001185259,0.019989376,-0.030656173
Brent,Q2_1718,7/1/2017,0.112634053,-0.006104822,-0.046320235
Brent,Q2_1819,7/1/2018,0.074969773,0.035727814,0.033804107
Brent,Q2_1920,7/1/2019,-0.016504852,0.084570804,0.093725605
Brent,Q2_2021,7/1/2020,0.036939527,0.01727331,0.103908967
Brent,Q2_2122,7/1/2021,0.033258347,0.034385007,0.003712999
Brent,Q2_2223,7/1/2022,0.00540032,-0.063934372,0.003827027
Brent,Q2_2324,7/1/2023,-0.013825233,-0.035480599,-0.035599394
Brent,Q2_2425,7/1/2024,-0.072070752,-0.03410401,-0.075505994
Brent,Q2_2526,7/1/2025,-0.075192758,0.001292555,-0.035139843
Brent,Q3_1516,10/1/2015,-0.03132268,,-0.020789683
Brent,Q3_1617,10/1/2016,0.010840821,0.009719126,-0.020674509
Brent,Q3_1718,10/1/2017,0.138941572,0.008844141,-0.035984454
Brent,Q3_1819,10/1/2018,0.004410061,0.025288657,0.023774311
Brent,Q3_1920,10/1/2019,0.013667367,0.09470593,0.143734773
Brent,Q3_2021,10/1/2020,0.029038983,0.011074438,0.053488381
Brent,Q3_2122,10/1/2021,0.039103565,0.01112511,-0.006508181
Brent,Q3_2223,10/1/2022,-0.007441293,-0.066163939,0.013675754
Brent,Q3_2324,10/1/2023,-0.035999497,-0.037186555,-0.065715141
Brent,Q3_2425,10/1/2024,-0.095579713,-0.036857187,-0.075692794
Brent,Q3_2526,10/1/2025,-0.075719641,-0.016966976,-0.045700243
Brent,Q4_1415,1/1/2015,-0.021839337,,0.069182812
Brent,Q4_1516,1/1/2016,0.009183213,-0.031581455,-0.030762752
Brent,Q4_1617,1/1/2017,-0.010224784,-0.001116962,-0.040731237
Brent,Q4_1718,1/1/2018,0.139437239,0.021386915,0.013509582
Brent,Q4_1819,1/1/2019,-0.018313151,0.013151989,0.02362934
Brent,Q4_1920,1/1/2020,0.027047701,0.109512053,0.173382375
Brent,Q4_2021,1/1/2021,-0.003845147,-0.03903462,-0.007197508
Brent,Q4_2122,1/1/2022,0.019501821,-0.018562413,-0.02648698
Brent,Q4_2223,1/1/2023,0.020018478,-0.018157037,0.093540524
Brent,Q4_2324,1/1/2024,-0.067818559,-0.058613815,-0.135811979
Brent,Q4_2425,1/1/2025,-0.109788313,-0.020159311,-0.065916839
Brent,Q4_2526,1/1/2026,-0.121745153,-0.083079202,-0.048150417
Bromley,Q1_1516,4/1/2015,0.032041478,,-0.055446941
Bromley,Q1_1617,4/1/2016,-0.018574535,-0.020437195,0.004118793
Bromley,Q1_1718,4/1/2017,0.08477667,0.113863176,0.121076703
Bromley,Q1_1819,4/1/2018,0.127559347,0.065990496,0.033038385
Bromley,Q1_1920,4/1/2019,0.072657382,0.089887877,0.136632306
Bromley,Q1_2021,4/1/2020,0.055467862,0.089101847,0.117464728
Bromley,Q1_2122,4/1/2021,0.032928632,0.042450375,-0.000226093
Bromley,Q1_2223,4/1/2022,-0.021888366,-0.043587288,-0.086572273
Bromley,Q1_2324,4/1/2023,-0.035813207,-0.108942909,-0.052289518
Bromley,Q1_2425,4/1/2024,-0.096344252,-0.059348886,-0.122663885
Bromley,Q1_2526,4/1/2025,-0.130778898,-0.095094246,-0.068740521
Bromley,Q2_1516,7/1/2015,0.02136174,,-0.025926131
Bromley,Q2_1617,7/1/2016,-0.014517349,0.002664471,0.046978955
Bromley,Q2_1718,7/1/2017,0.077575696,0.058358126,0.07600029
Bromley,Q2_1819,7/1/2018,0.095286473,0.084252914,0.071436095
Bromley,Q2_1920,7/1/2019,0.121281558,0.106480946,0.142712022
Bromley,Q2_2021,7/1/2020,0.0579417,0.0962828,0.113307929
Bromley,Q2_2122,7/1/2021,0.020065881,0.017906708,-0.045194604
Bromley,Q2_2223,7/1/2022,-0.02229196,-0.06389583,-0.066856792
Bromley,Q2_2324,7/1/2023,-0.049207003,-0.093892553,-0.057632395
Bromley,Q2_2425,7/1/2024,-0.093365505,-0.059426805,-0.103514361
Bromley,Q2_2526,7/1/2025,-0.117231515,-0.082382318,-0.046239751
Bromley,Q3_1516,10/1/2015,-0.009700351,,0.013325136
Bromley,Q3_1617,10/1/2016,0.00265749,0.020504672,0.034987324
Bromley,Q3_1718,10/1/2017,0.081059353,0.071021336,0.078456136
Bromley,Q3_1819,10/1/2018,0.096752158,0.085373411,0.092469348
Bromley,Q3_1920,10/1/2019,0.08786652,0.101515062,0.10735417
Bromley,Q3_2021,10/1/2020,0.083757063,0.0930837,0.100357919
Bromley,Q3_2122,10/1/2021,-0.011309943,0.004499777,-0.079114888
Bromley,Q3_2223,10/1/2022,-0.037602413,-0.077955602,-0.04060046
Bromley,Q3_2324,10/1/2023,-0.064708633,-0.108098477,-0.101510835
Bromley,Q3_2425,10/1/2024,-0.109801774,-0.074347248,-0.118051686
Bromley,Q3_2526,10/1/2025,-0.129530524,-0.081784749,-0.044910085
Bromley,Q4_1415,1/1/2015,0.018494095,,-0.067947711
Bromley,Q4_1516,1/1/2016,-0.012291852,-0.013279035,0.001498226
Bromley,Q4_1617,1/1/2017,-0.016960157,0.000796976,0.015256868
Bromley,Q4_1718,1/1/2018,0.129317524,0.069689731,0.057228213
Bromley,Q4_1819,1/1/2019,0.079025032,0.087110993,0.124071637
Bromley,Q4_1920,1/1/2020,0.068493987,0.096705016,0.123697271
Bromley,Q4_2021,1/1/2021,0.011368193,0.055967703,0.054574617
Bromley,Q4_2122,1/1/2022,-0.004118756,-0.045292392,-0.118144614
Bromley,Q4_2223,1/1/2023,-0.047156335,-0.087614581,-0.050285992
Bromley,Q4_2324,1/1/2024,-0.077300134,-0.100079645,-0.113337745
Bromley,Q4_2425,1/1/2025,-0.14749131,-0.090225797,-0.093472517
Bromley,Q4_2526,1/1/2026,-0.189751063,-0.147822557,-0.107363275
Camden,Q1_1516,4/1/2015,0.00338766,,-0.053077307
Camden,Q1_1617,4/1/2016,0.004846886,-0.002601816,0.050520193
Camden,Q1_1718,4/1/2017,0.166884885,0.142154172,0.154479452
Camden,Q1_1819,4/1/2018,0.082556621,0.135082659,0.086242025
Camden,Q1_1920,4/1/2019,0.07761944,0.065652468,0.127533708
Camden,Q1_2021,4/1/2020,-0.007201657,-0.003867787,-0.016051531
Camden,Q1_2122,4/1/2021,-0.021451186,-0.008781137,-0.049251569
Camden,Q1_2223,4/1/2022,-0.063319652,-0.072023659,-0.090666666
Camden,Q1_2324,4/1/2023,-0.035878281,-0.055750479,-0.092599138
Camden,Q1_2425,4/1/2024,-0.004369804,-0.067674806,-0.01397193
Camden,Q1_2526,4/1/2025,-0.129863975,-0.058547301,-0.065586972
Camden,Q2_1516,7/1/2015,-0.002461476,,-0.03746205
Camden,Q2_1617,7/1/2016,0.043784504,0.023669846,0.077220183
Camden,Q2_1718,7/1/2017,0.152568851,0.14315985,0.116236771
Camden,Q2_1819,7/1/2018,0.088605435,0.112310052,0.09328006
Camden,Q2_1920,7/1/2019,0.042640379,0.079175738,0.131297603
Camden,Q2_2021,7/1/2020,0.047469177,-0.012521582,0.007435488
Camden,Q2_2122,7/1/2021,-0.04728558,0.001159084,-0.048632471
Camden,Q2_2223,7/1/2022,-0.059876205,-0.096624492,-0.105581717
Camden,Q2_2324,7/1/2023,-0.016800119,-0.063414499,-0.080786578
Camden,Q2_2425,7/1/2024,-0.054438821,-0.067723235,-0.024023667
Camden,Q2_2526,7/1/2025,-0.094463446,-0.054757667,-0.041538522
Camden,Q3_1516,10/1/2015,0.016589549,,0.011826561
Camden,Q3_1617,10/1/2016,0.002197128,0.01255596,0.046030224
Camden,Q3_1718,10/1/2017,0.117478895,0.14958815,0.112421139
Camden,Q3_1819,10/1/2018,0.081021007,0.094005095,0.095090869
Camden,Q3_1920,10/1/2019,0.114631971,0.09759042,0.130286972
Camden,Q3_2021,10/1/2020,0.007686109,-0.03938651,-0.019898286
Camden,Q3_2122,10/1/2021,-0.040521978,-0.034094793,-0.053562208
Camden,Q3_2223,10/1/2022,-0.096676828,-0.067362288,-0.125686944
Camden,Q3_2324,10/1/2023,0.007072168,-0.063680104,-0.050387365
Camden,Q3_2425,10/1/2024,-0.056132233,-0.064877224,-0.010300327
Camden,Q3_2526,10/1/2025,-0.10773184,-0.054068301,-0.061485033
Camden,Q4_1415,1/1/2015,-0.01285832,,-0.04775954
Camden,Q4_1516,1/1/2016,0.016123689,-0.031705864,0.021477334
Camden,Q4_1617,1/1/2017,0.017045526,0.015958156,0.039664774
Camden,Q4_1718,1/1/2018,0.054627112,0.136535554,0.087794147
Camden,Q4_1819,1/1/2019,0.083806286,0.09297672,0.114675218
Camden,Q4_1920,1/1/2020,0.10563522,0.044260111,0.066046259
Camden,Q4_2021,1/1/2021,-0.052050055,-0.037269982,-0.049686082
Camden,Q4_2122,1/1/2022,-0.072488944,-0.065475043,-0.095036724
Camden,Q4_2223,1/1/2023,-0.063881666,-0.07540088,-0.10359158
Camden,Q4_2324,1/1/2024,0.012369173,-0.049963115,-0.036416521
Camden,Q4_2425,1/1/2025,-0.090874596,-0.072239317,-0.048848178
Camden,Q4_2526,1/1/2026,-0.216021008,-0.126022155,-0.147670076
Croydon,Q1_1516,4/1/2015,-0.008038055,,-0.051500297
Croydon,Q1_1617,4/1/2016,0.01348814,-0.020492289,0.039444877
Croydon,Q1_1718,4/1/2017,0.100588913,0.086384504,0.081965529
Croydon,Q1_1819,4/1/2018,0.08004935,0.065984203,0.041631376
Croydon,Q1_1920,4/1/2019,0.058127391,0.061977283,0.126634118
Croydon,Q1_2021,4/1/2020,0.043286733,0.05838601,0.053636292
Croydon,Q1_2122,4/1/2021,0.026344178,0.028073298,-0.008277216
Croydon,Q1_2223,4/1/2022,-0.087258136,-0.057180273,-0.064315122
Croydon,Q1_2324,4/1/2023,-0.091882969,-0.090611426,-0.057179287
Croydon,Q1_2425,4/1/2024,-0.042910793,-0.03395499,-0.071622807
Croydon,Q1_2526,4/1/2025,-0.049781323,-0.051633243,-0.039684722
Croydon,Q2_1516,7/1/2015,-0.020072981,,-0.03276053
Croydon,Q2_1617,7/1/2016,-0.007370106,-0.013710043,0.035106376
Croydon,Q2_1718,7/1/2017,0.14345631,0.108511819,0.093741311
Croydon,Q2_1819,7/1/2018,0.072284686,0.047642593,0.043015723
Croydon,Q2_1920,7/1/2019,0.093605166,0.113460208,0.146219522
Croydon,Q2_2021,7/1/2020,0.030496167,0.038572626,0.020487128
Croydon,Q2_2122,7/1/2021,0.017099568,0.01863372,-0.007809403
Croydon,Q2_2223,7/1/2022,-0.08328078,-0.054229482,-0.06185194
Croydon,Q2_2324,7/1/2023,-0.075911879,-0.068762512,-0.047288371
Croydon,Q2_2425,7/1/2024,-0.031764945,-0.035685911,-0.05472017
Croydon,Q2_2526,7/1/2025,-0.019318839,-0.051290128,-0.029398306
Croydon,Q3_1516,10/1/2015,-0.036881846,,-0.030784256
Croydon,Q3_1617,10/1/2016,0.033071905,-0.000801092,0.049187102
Croydon,Q3_1718,10/1/2017,0.118923974,0.095149289,0.06093443
Croydon,Q3_1819,10/1/2018,0.065306243,0.03988428,0.064886977
Croydon,Q3_1920,10/1/2019,0.082741864,0.112819727,0.145684878
Croydon,Q3_2021,10/1/2020,0.017757405,0.011702791,-0.013595016
Croydon,Q3_2122,10/1/2021,-0.035408203,0.024192188,-0.003169456
Croydon,Q3_2223,10/1/2022,-0.093439996,-0.111766581,-0.088143555
Croydon,Q3_2324,10/1/2023,-0.081862498,-0.073177262,-0.080973596
Croydon,Q3_2425,10/1/2024,-0.016775181,-0.029402993,-0.037823015
Croydon,Q3_2526,10/1/2025,-0.041040139,-0.087405109,-0.072850333
Croydon,Q4_1415,1/1/2015,-0.059379256,,-0.062330905
Croydon,Q4_1516,1/1/2016,0.008123334,-0.014472426,0.006122446
Croydon,Q4_1617,1/1/2017,-0.013767792,0.001543529,0.011144281
Croydon,Q4_1718,1/1/2018,0.095994913,0.072976225,0.039120459
Croydon,Q4_1819,1/1/2019,0.074042122,0.058946431,0.114104105
Croydon,Q4_1920,1/1/2020,0.052109803,0.082350802,0.095293442
Croydon,Q4_2021,1/1/2021,0.037197369,0.043868325,0.019865141
Croydon,Q4_2122,1/1/2022,-0.107109031,-0.084488629,-0.080415793
Croydon,Q4_2223,1/1/2023,-0.082165515,-0.078240023,-0.05354728
Croydon,Q4_2324,1/1/2024,-0.048964269,-0.021027073,-0.05917872
Croydon,Q4_2425,1/1/2025,-0.037597291,-0.067431891,-0.044525161
Croydon,Q4_2526,1/1/2026,-0.092113712,-0.125296475,-0.134480259
Ealing,Q1_1516,4/1/2015,-0.01795227,,0.005751548
Ealing,Q1_1617,4/1/2016,0.014868637,-0.016335205,-0.013645534
Ealing,Q1_1718,4/1/2017,0.118393786,0.078661167,0.002755755
Ealing,Q1_1819,4/1/2018,0.202836939,0.035287413,0.091568078
Ealing,Q1_1920,4/1/2019,0.064443442,0.062334121,0.094048761
Ealing,Q1_2021,4/1/2020,0.037857867,0.072264448,0.110503891
Ealing,Q1_2122,4/1/2021,-0.005012768,-0.007335725,-0.015835014
Ealing,Q1_2223,4/1/2022,-0.056797077,-0.028419041,-0.056216378
Ealing,Q1_2324,4/1/2023,-0.028402329,-0.0133223,0.035577849
Ealing,Q1_2425,4/1/2024,-0.08736573,-0.092692945,-0.144200597
Ealing,Q1_2526,4/1/2025,-0.13786641,-0.026925581,-0.082170287
Ealing,Q2_1516,7/1/2015,-0.034927442,,-0.003601949
Ealing,Q2_1617,7/1/2016,0.000221563,-0.003085259,-0.042501442
Ealing,Q2_1718,7/1/2017,0.145453925,0.046876276,0.042127412
Ealing,Q2_1819,7/1/2018,0.188002937,0.058423869,0.082672218
Ealing,Q2_1920,7/1/2019,0.043195052,0.077647525,0.125919261
Ealing,Q2_2021,7/1/2020,0.072770217,0.077389593,0.08582846
Ealing,Q2_2122,7/1/2021,-0.046151327,-0.018026984,-0.056078361
Ealing,Q2_2223,7/1/2022,-0.037391847,-0.038780146,-0.016343499
Ealing,Q2_2324,7/1/2023,-0.03314224,-0.024057375,-0.01116058
Ealing,Q2_2425,7/1/2024,-0.132403653,-0.099680297,-0.143140041
Ealing,Q2_2526,7/1/2025,-0.089582745,-0.017967627,-0.032537123
Ealing,Q3_1516,10/1/2015,-0.004281692,,-0.043463932
Ealing,Q3_1617,10/1/2016,-0.016167962,0.01303544,0.006132912
Ealing,Q3_1718,10/1/2017,0.197578102,0.048165937,0.032581417
Ealing,Q3_1819,10/1/2018,0.127968951,0.038403234,0.082664954
Ealing,Q3_1920,10/1/2019,0.032770217,0.107389593,0.14582846
Ealing,Q3_2021,10/1/2020,0.079124503,0.04910481,0.062911933
Ealing,Q3_2122,10/1/2021,-0.086882044,-0.028470627,-0.086234538
Ealing,Q3_2223,10/1/2022,-0.018615373,-0.049522991,0.003394994
Ealing,Q3_2324,10/1/2023,-0.038716081,-0.037441446,-0.042351889
Ealing,Q3_2425,10/1/2024,-0.160653331,-0.078617616,-0.152765941
Ealing,Q3_2526,10/1/2025,-0.070483397,-0.038514444,-0.022729621
Ealing,Q4_1415,1/1/2015,-0.01327121,,0.06461472
